Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,31.0,1.0,31.0,31.0,0.1,22.56744099452,0.0,0.0,0.005445957183837891,,,,,,,,,,,,,,,,,,,,,7.797542905119238,7.629596744544509,22.370435665356357,0.0702277805647886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,65.0,2.0,34.0,65.0,0.1,23.480692557370247,0.0,0.0,4.113211393356323,,,,,,,,,,,,,,,,,,,,,7.741617709203845,7.650610898080617,23.263982255786633,0.07464504963642508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,124.0,3.0,59.0,124.0,0.1,34.9340606619633,0.0,0.0,10.188172817230225,,,,,,,,,,,,,,,,,,,,,15.692192897416575,9.11096570458667,34.076339884444735,0.13109675132757465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,152.0,4.0,28.0,152.0,0.1,20.06189237926715,0.0,0.0,13.397928237915039,,,,,,,,,,,,,,,,,,,,,6.773853120603699,6.899618483474076,19.912028637135883,0.04977225243749412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,192.0,5.0,40.0,192.0,0.1,36.4117586567177,0.0,0.0,18.101614952087402,,,,,,,,,,,,,,,,,,,,,13.364565571906883,12.202939053359673,35.94903816112553,0.09362163060353207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,223.0,6.0,31.0,223.0,0.1,21.19639478814453,0.0,0.0,21.80287194252014,,,,,,,,,,,,,,,,,,,,,6.96979672945599,7.196429896115776,21.02235477673009,0.06105473004223955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,246.0,7.0,23.0,246.0,0.1,14.826085019258826,0.0,0.0,24.60799789428711,,,,,,,,,,,,,,,,,,,,,4.85382549075954,5.055249505030349,14.743920129309846,0.044987761758196354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,302.0,8.0,56.0,302.0,0.1,37.417144461095134,0.0,0.0,30.39494013786316,,,,,,,,,,,,,,,,,,,,,16.64314847624859,10.183682057312904,36.55820800422566,0.12114549030130739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,360.0,9.0,58.0,360.0,0.1,43.188962999834374,0.0,0.0,36.286126375198364,,,,,,,,,,,,,,,,,,,,,18.826036156840516,12.339511413682366,42.18137346830075,0.13740140266605144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,393.0,10.0,33.0,393.0,0.1,24.959801369408197,0.0,0.0,40.189860582351685,,,,,,,,,,,,,,,,,,,,,8.669221196788614,8.421068349042732,24.723138624023598,0.0647837809107659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,437.0,11.0,44.0,437.0,0.1,25.709098271474414,0.0,0.0,45.124804735183716,,,,,,,,,,,,,,,,,,,,,8.30954227771218,7.7453975147182685,25.3942415000136,0.08663113737476516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,466.0,12.0,29.0,466.0,0.1,22.90477899447031,0.0,0.0,48.75466442108154,,,,,,,,,,,,,,,,,,,,,8.227525078430453,7.937610360382613,22.711581218050704,0.059532362458728054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,507.0,13.0,41.0,507.0,0.1,25.125151904729204,0.0,0.0,53.206782817840576,,,,,,,,,,,,,,,,,,,,,8.274745776747734,7.757154474372264,24.835533559467915,0.0744753738728261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,543.0,14.0,36.0,543.0,0.1,32.250775737926695,0.0,0.0,57.29406023025513,,,,,,,,,,,,,,,,,,,,,12.763067670290916,10.995608005081063,31.854983413640092,0.0708022407097804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,570.0,15.0,27.0,570.0,0.1,17.578208019878605,0.0,0.0,60.69077229499817,,,,,,,,,,,,,,,,,,,,,5.513442186364637,5.947079181293398,17.46425612884832,0.04451095767990987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,635.0,16.0,65.0,635.0,0.1,72.26611184353608,0.0,0.0,67.0773594379425,,,,,,,,,,,,,,,,,,,,,31.16301667530782,23.067020495122044,70.3812077940213,0.13978093627653054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
